关卡数,难度,图案中文,图案英文,格子行列,颜色数量,图案
1,简单,铜钱,icon,16,2,icon.png
2,简单,香蕉,banana,25,2,banana.png
3,简单,鸭子,duck,16,3,duck.png
4,简单,白狗脸,dog,16,3,dog.png
5,简单,粉色爱心,heart,21,3,heart.png
6,简单,小猪头,small_pig,21,3,small_pig.png
7,简单,多栋,duodong,24,3,duodong.png
8,简单,醍醐,tihu,24,3,tihu.png
9,简单,鼠,mouse,24,3,mouse.png
10,简单,蘑菇,mushroom,26,3,mushroom.png
11,简单,枫叶,maple_leaf,28,3,maple_leaf.png
12,简单,元宝,yuanbao,30,3,yuanbao.png
13,简单,哭脸,cry,16,4,cry.png
14,简单,蜜蜂狗脸,dog2,17,4,dog2.png
15,简单,小鸡,chicken,19,4,chicken.png
16,简单,信,letter,19,4,letter.png
17,简单,桃子,peach,20,4,peach.png
18,简单,橘子,orange,21,4,orange.png
19,简单,小兔子,small_rabbit,22,4,small_rabbit.png
20,简单,萝卜,luobo,23,4,luobo.png
21,简单,蜜蜂熊,honey_beer,23,4,honey_beer.png
22,简单,草莓,strawberry,24,4,strawberry.png
23,简单,粉红熊,pink_beer,26,4,pink_beer.png
24,简单,简单星球,simple_starball,26,4,simple_starball.png
25,简单,西瓜,watermelon,27,4,watermelon.png
26,简单,起司,cheese,30,4,cheese.png
27,简单,草,grass,30,4,grass.png
28,简单,圣诞拐杖,stick,32,4,stick.png
29,简单,花猪,pig_full,32,4,pig_full.png
30,简单,寿司,sushi,34,4,sushi.png
31,简单,库洛迷,kuluomi,19,5,kuluomi.png
32,简单,小羊,small_sheep,19,5,small_sheep.png
33,简单,简单草莓,simple_strawberry,20,5,simple_strawberry.png
34,简单,小蛇,small_snake,22,5,small_snake.png
35,简单,小狗头,small_dog,23,5,small_dog.png
36,简单,葡萄,grape,24,5,grape.png
37,简单,樱桃,cherry,25,5,cherry.png
38,简单,牛奶,milk,26,5,milk.png
39,简单,苹果,apple,26,5,apple.png
40,简单,猴,monkey,27,5,monkey.png
41,简单,天线宝宝,tianxian_baby,27,5,tianxian_baby.png
42,简单,绿蛙,wa_full,27,5,wa_full.png
43,简单,黄耳猫,yellow_cat,27,5,yellow_cat.png
44,简单,番茄薯条仔,chipman,28,5,chipman.png
45,简单,企鹅_2,penguin_2,28,5,penguin_2.png
46,简单,兔头,rabbit,28,5,rabbit.png
47,简单,眯眼熊,beer_head,29,5,beer_head.png
48,简单,树人,treeman,29,5,treeman.png
49,简单,菠萝,pineapple,30,5,pineapple.png
50,简单,点灯小鬼,light_ghost,31,5,light_ghost.png
51,简单,戴帽星,star_full,32,5,star_full.png
52,简单,面条,noodle,34,6,noodle.png
1,中等,薯条,chips,22,4,chips.png
2,中等,小熊猫,lesser_panda,15,5,lesser_panda.png
3,中等,猕猴桃,mihoutao,19,5,mihoutao.png
4,中等,冰淇淋,ice-cream,26,5,ice-cream.png
5,中等,雪人,snowman,32,5,snowman.png
6,中等,樱桃冰淇淋,cherry_ice,36,5,cherry_ice.png
7,中等,硬币,icon_full,15,6,icon_full.png
8,中等,柿子,kaki,18,6,kaki.png
9,中等,牛,cattle,21,6,cattle.png
10,中等,鲨鱼,shark,23,6,shark.png
11,中等,小老虎头,small_tiger,23,6,small_tiger.png
12,中等,紫色星球,starball,25,6,starball.png
13,中等,薯饼,hash-browns,26,6,hash-browns.png
14,中等,蜜蜂,bee,29,6,bee.png
15,中等,撑伞蛙,wa,30,6,wa.png
16,中等,走路狗,walkdog,32,6,walkdog.png
17,中等,蛋糕,cake,33,6,cake.png
18,中等,哭库洛迷,cry_kuluomi,34,6,cry_kuluomi.png
19,中等,歪头猫,cat_full,37,6,cat_full.png
20,中等,汉顿,handun,16,7,handun.png
21,中等,kitty猫,kitty,16,7,kitty.png
22,中等,派大星,daxing,21,7,daxing.png
23,中等,熊,beer,25,7,beer.png
24,中等,起司_1,cheese_1,25,7,cheese_1.png
25,中等,龙,dragon,27,7,dragon.png
26,中等,苹果猫,apple_kitty,28,7,apple_kitty.png
27,中等,流汗花,flower,30,7,flower.png
28,中等,汉堡人,hamburgman,31,7,hamburgman.png
29,中等,樱桃蛋糕,cherry_cake,36,7,cherry_cake.png
1,困难,钱袋子,poket,24,6,poket.png
2,困难,蛇,snake,16,7,snake.png
3,困难,老虎头,tiger,18,7,tiger.png
4,困难,彩虹马,caihong_house,28,7,caihong_house.png
5,困难,鬼脸,grimace,30,7,grimace.png
6,困难,蛋,egg,31,7,egg.png
7,困难,蜗牛,snail,20,8,snail.png
8,困难,起司_3,cheese_3,24,8,cheese_3.png
9,困难,起司_4,cheese_4,25,8,cheese_4.png
10,困难,企鹅_1,penguin_1,27,8,penguin_1.png
11,困难,起司_2,cheese_2,25,9,cheese_2.png
12,困难,圣诞树,christmas_tree,32,9,christmas_tree.png
13,困难,小新开车,xiaoxin,35,9,xiaoxin.png
14,困难,汉堡包,hamburg,24,10,hamburg.png
15,困难,夹心蛋糕,jiaxin_cake,25,10,jiaxin_cake.png
